,user_id,post_id,rating_value
0,1,487,2
1,1,1172,3
2,1,826,3
3,1,1296,3
4,1,320,3
5,1,1308,3
6,1,798,3
7,1,1452,2
8,1,1409,3
9,1,446,4
10,1,1309,3
11,1,381,2
12,1,438,3
13,1,1521,4
14,1,1359,4
15,1,959,4
16,1,1321,5
17,1,1419,3
18,1,915,1
19,1,151,3
20,1,1104,5
21,1,1460,3
22,1,1332,2
23,1,1137,3
24,1,1545,4
25,1,765,3
26,1,99,3
27,1,91,3
28,1,1138,5
29,1,1624,2
30,1,571,2
31,2,1612,4
32,2,1462,5
33,2,1576,2
34,2,970,2
35,2,1520,2
36,2,971,3
37,2,1567,3
38,2,427,3
39,2,778,3
40,2,1199,5
41,2,1457,5
42,2,1106,1
43,2,174,5
44,2,537,3
45,2,1422,3
46,2,251,2
47,2,1431,4
48,2,644,1
49,2,110,3
50,2,1375,2
51,2,844,3
52,2,1327,1
53,2,1570,5
54,2,867,2
55,2,1175,3
56,2,805,3
57,2,1613,1
58,2,285,2
59,2,157,3
60,2,1323,4
61,2,1448,2
62,2,951,3
63,2,1614,3
64,2,956,4
65,2,1203,1
66,2,1120,3
67,2,812,2
68,2,683,5
69,2,349,3
70,2,422,2
71,2,1048,5
72,2,1116,2
73,2,557,2
74,2,717,3
75,2,1102,4
76,2,846,2
77,2,226,5
78,2,1211,3
79,2,1031,4
80,2,173,3
81,2,1528,4
82,2,603,1
83,2,1538,3
84,2,323,3
85,2,779,3
86,2,1673,4
87,2,395,5
88,2,116,2
89,2,946,3
90,2,328,3
91,2,218,4
92,2,1540,2
93,2,720,4
94,2,22,3
95,2,626,3
96,2,271,2
97,2,1295,3
98,2,628,4
99,2,213,1
100,2,1029,3
101,3,135,2
102,3,1044,3
103,3,253,2
104,3,1128,2
105,3,345,3
106,3,1076,4
107,3,118,4
108,3,348,4
109,3,876,4
110,3,981,1
111,3,1303,5
112,3,965,2
113,3,1454,3
114,3,1535,3
115,3,620,3
116,3,1354,3
117,3,527,1
118,3,1353,4
119,3,1672,2
120,3,979,1
121,3,862,5
122,3,428,4
123,3,212,3
124,3,791,4
125,3,175,4
126,3,706,3
127,3,256,3
128,3,1077,4
129,3,524,3
130,3,718,4
131,3,1444,4
132,3,88,1
133,3,957,3
134,3,501,2
135,3,1210,2
136,3,173,4
137,3,171,4
138,3,613,5
139,3,89,4
140,3,1106,4
141,3,534,2
142,3,180,3
143,3,1216,5
144,3,1149,5
145,3,278,1
146,3,321,2
147,3,354,1
148,3,316,4
149,3,1246,5
150,3,497,4
151,3,611,4
152,3,659,5
153,3,1119,3
154,3,214,4
155,3,1000,2
156,3,1624,3
157,3,1396,1
158,3,1274,4
159,3,404,1
160,3,995,2
161,3,1017,4
162,3,696,3
163,3,584,3
164,3,1031,2
165,3,60,3
166,3,499,3
167,3,736,2
168,3,265,3
169,3,1639,1
170,3,1215,2
171,3,680,3
172,3,1257,5
173,3,1456,3
174,3,1644,2
175,3,325,4
176,3,667,2
177,3,1626,4
178,3,69,4
179,3,1309,3
180,3,195,2
181,3,1502,2
182,3,766,1
183,3,234,2
184,3,991,1
185,3,433,3
186,3,93,3
187,3,1104,5
188,3,1051,4
189,3,307,3
190,3,812,3
191,3,83,1
192,3,1066,3
193,3,519,3
194,3,292,4
195,3,1294,3
196,3,747,2
197,3,55,3
198,3,1002,3
199,3,1508,3
200,3,1439,3
201,3,1524,4
202,3,1397,5
203,3,1547,2
204,3,817,5
205,3,1613,3
206,3,1184,2
207,3,1280,3
208,3,799,2
209,3,1555,1
210,3,1393,2
211,3,921,2
212,3,779,3
213,3,1563,3
214,3,1530,2
215,3,477,2
216,3,75,4
217,3,42,2
218,4,945,3
219,4,437,2
220,4,813,2
221,4,312,3
222,4,396,4
223,4,461,3
224,4,233,2
225,4,1483,3
226,4,544,5
227,4,134,5
228,4,687,5
229,4,931,2
230,4,154,5
231,4,560,5
232,4,1537,4
233,4,1280,4
234,4,551,4
235,4,1476,1
236,4,1120,5
237,4,1067,1
238,4,1542,2
239,4,567,3
240,4,987,2
241,4,293,4
242,4,654,1
243,4,1653,3
244,4,1094,2
