,user_id,post_id,rating_value
0,186,302,4.0
1,22,377,1.0
2,244,51,5.0
3,166,346,1.0
4,298,474,3.0
5,115,265,5.0
6,253,465,2.0
7,305,451,4.0
8,6,86,4.0
9,62,257,5.0
10,286,1014,2.0
11,200,222,2.0
12,210,40,4.0
13,224,29,4.0
14,303,785,4.0
15,122,387,2.0
16,194,274,5.0
17,291,1042,3.0
18,234,1184,5.0
19,119,392,3.0
20,167,486,3.0
21,299,144,3.0
22,291,118,5.0
23,308,1,3.0
24,95,546,5.0
25,38,95,2.0
26,102,768,5.0
27,63,277,3.0
28,160,234,2.0
29,50,246,4.0
30,301,98,3.0
31,225,193,3.0
32,290,88,3.0
33,97,194,4.0
34,157,274,3.0
35,181,1081,1.0
36,278,603,2.0
37,276,796,1.0
38,7,32,3.0
39,10,16,3.0
40,284,304,3.0
41,201,979,5.0
42,276,564,4.0
43,287,327,2.0
44,246,201,2.0
45,242,1137,2.0
46,249,241,2.0
47,99,4,2.0
48,178,332,4.0
49,251,100,3.0
50,81,432,5.0
51,260,322,3.0
52,25,181,2.0
53,59,196,2.0
54,72,679,5.0
55,87,384,3.0
56,290,143,2.0
57,42,423,2.0
58,292,515,3.0
59,115,20,4.0
60,20,288,1.0
61,201,219,3.0
62,13,526,4.0
63,246,919,3.0
64,138,26,2.0
65,167,232,1.0
66,60,427,2.0
67,57,304,2.0
68,223,274,3.0
69,189,512,3.0
70,243,15,4.0
71,92,1049,1.0
72,246,416,4.0
73,194,165,3.0
74,241,690,5.0
75,178,248,3.0
76,254,1444,4.0
77,293,5,4.0
78,127,229,2.0
79,225,237,2.0
80,299,229,4.0
81,225,480,2.0
82,276,54,4.0
83,291,144,2.0
84,222,366,3.0
85,267,518,2.0
86,42,403,4.0
87,11,111,3.0
88,95,625,3.0
89,8,338,3.0
90,162,25,3.0
91,87,1016,3.0
92,279,154,2.0
93,145,275,5.0
94,119,1153,2.0
95,62,498,3.0
96,62,382,4.0
97,28,209,3.0
98,135,23,3.0
99,32,294,4.0
100,90,382,2.0
101,286,208,3.0
102,293,685,4.0
103,216,144,3.0
104,166,328,2.0
105,250,496,3.0
106,271,132,2.0
107,160,174,2.0
108,265,118,3.0
109,198,498,4.0
110,42,96,2.0
111,168,151,2.0
112,110,307,3.0
113,58,144,3.0
114,90,648,3.0
115,271,346,3.0
116,62,21,4.0
117,279,832,4.0
118,237,514,3.0
119,94,789,3.0
120,128,485,4.0
121,298,317,3.0
122,44,195,2.0
123,264,200,2.0
124,194,385,5.0
125,72,195,2.0
126,222,750,2.0
127,250,264,4.0
128,41,265,4.0
129,224,245,4.0
130,82,135,4.0
131,262,1147,3.0
132,293,471,4.0
133,216,658,4.0
134,250,140,4.0
135,59,23,2.0
136,286,379,2.0
137,244,815,3.0
138,7,479,3.0
139,174,368,1.0
140,87,274,3.0
141,194,1211,5.0
142,82,1134,5.0
143,13,836,5.0
144,13,272,3.0
145,244,756,5.0
146,305,427,2.0
147,95,787,5.0
148,43,14,5.0
149,299,955,3.0
150,57,419,4.0
151,84,405,4.0
152,269,504,3.0
153,299,111,4.0
154,194,466,3.0
155,160,135,3.0
156,99,268,4.0
157,10,486,3.0
158,259,117,3.0
159,85,427,4.0
160,303,919,3.0
161,213,273,2.0
162,121,514,4.0
163,90,98,2.0
164,49,559,5.0
165,42,794,4.0
166,155,323,5.0
167,68,117,3.0
168,172,177,3.0
169,19,4,3.0
170,268,231,3.0
171,5,2,4.0
172,305,117,5.0
173,44,294,3.0
174,43,137,3.0
175,279,1336,1.0
176,80,466,2.0
177,254,164,3.0
178,298,281,4.0
179,279,1240,1.0
180,66,298,3.0
181,18,443,4.0
182,268,1035,5.0
183,99,79,3.0
184,13,98,3.0
185,26,258,4.0
186,7,455,3.0
187,222,755,3.0
188,200,673,2.0
189,119,328,3.0
190,213,172,2.0
191,276,322,4.0
192,94,1217,4.0
193,130,379,3.0
194,38,328,3.0
195,160,719,4.0
196,293,1267,4.0
197,26,930,5.0
198,130,216,3.0
199,92,1079,4.0
200,256,452,3.0
201,1,61,3.0
202,72,48,3.0
203,56,755,4.0
204,13,360,3.0
205,15,405,5.0
206,92,77,4.0
207,207,476,5.0
208,292,174,2.0
209,232,483,2.0
210,251,748,5.0
211,224,26,4.0
212,181,220,3.0
213,259,255,3.0
214,305,471,3.0
215,52,280,4.0
216,161,202,2.0
217,148,408,2.0
218,125,235,5.0
219,97,228,2.0
220,58,1098,3.0
221,83,234,3.0
222,90,347,3.0
223,272,178,2.0
224,194,181,4.0
225,125,478,3.0
226,110,688,1.0
227,299,14,3.0
228,151,10,2.0
229,269,127,3.0
230,6,14,2.0
231,54,106,4.0
232,303,69,2.0
233,16,944,1.0
234,301,790,3.0
235,276,1091,4.0
236,305,214,5.0
237,194,1028,5.0
238,91,323,5.0
239,87,554,3.0
240,294,109,3.0
241,286,171,3.0
242,200,318,2.0
243,229,328,1.0
244,178,568,3.0
245,303,842,5.0
246,62,65,3.0
247,207,591,4.0
248,92,172,3.0
249,301,401,3.0
250,36,339,2.0
251,70,746,4.0
252,63,242,4.0
253,28,201,4.0
254,279,68,3.0
255,250,7,3.0
256,14,98,4.0
257,299,1018,4.0
258,194,54,4.0
259,303,815,4.0
260,119,237,2.0
261,295,218,2.0
262,268,930,5.0
263,268,2,5.0
264,66,258,3.0
265,233,202,2.0
266,83,623,3.0
267,214,334,4.0
268,192,476,5.0
269,100,344,3.0
270,268,145,1.0
271,301,56,3.0
272,307,89,2.0
273,234,141,4.0
274,83,576,3.0
275,181,264,5.0
276,297,133,3.0
277,38,153,2.0
278,7,382,3.0
279,264,813,3.0
280,181,872,1.0
281,201,146,1.0
282,85,507,3.0
283,269,367,4.0
284,59,468,4.0
285,286,143,3.0
286,193,96,1.0
287,113,595,2.0
288,292,11,2.0
289,130,1014,4.0
290,275,98,3.0
291,189,520,2.0
292,219,82,1.0
293,218,209,2.0
294,123,427,4.0
295,119,222,2.0
296,158,177,3.0
297,222,118,3.0
298,302,322,5.0
299,279,501,4.0
300,301,79,2.0
301,181,3,5.0
302,201,695,1.0
303,13,198,4.0
304,1,189,4.0
305,145,237,2.0
306,23,385,3.0
307,201,767,3.0
308,296,705,2.0
309,42,546,4.0
310,33,872,4.0
311,301,554,4.0
312,16,64,2.0
313,95,135,4.0
314,154,357,3.0
315,77,484,2.0
316,296,508,2.0
317,302,303,5.0
318,244,673,4.0
319,222,77,3.0
320,13,215,2.0
321,16,705,2.0
322,270,452,3.0
323,145,15,5.0
324,187,64,2.0
325,200,304,2.0
326,170,749,2.0
327,101,829,4.0
328,184,218,4.0
329,128,204,3.0
330,181,1295,1.0
331,184,153,4.0
332,1,33,3.0
333,1,160,3.0
334,184,321,2.0
335,54,595,4.0
336,94,343,3.0
337,128,508,3.0
338,23,323,5.0
339,301,227,4.0
340,301,191,4.0
341,112,903,1.0
342,82,183,4.0
343,222,724,4.0
344,218,430,4.0
345,308,1197,3.0
346,303,134,2.0
347,133,751,4.0
348,215,212,5.0
349,69,256,2.0
350,254,662,3.0
351,276,2,3.0
352,104,984,1.0
353,63,1067,4.0
354,267,410,3.0
355,13,56,2.0
356,240,879,4.0
357,286,237,5.0
358,294,271,2.0
359,90,1086,3.0
360,18,26,3.0
361,92,229,4.0
362,308,649,3.0
363,144,89,4.0
364,191,302,3.0
365,59,951,4.0
366,200,96,2.0
367,16,197,2.0
368,61,678,4.0
369,271,199,3.0
370,271,709,4.0
371,142,169,2.0
372,275,597,4.0
373,222,151,4.0
374,87,40,4.0
375,207,258,3.0
376,272,1393,5.0
377,177,333,3.0
378,207,1115,5.0
379,299,577,4.0
380,271,378,3.0
381,305,425,3.0
382,49,959,5.0
383,94,1224,4.0
384,130,1017,4.0
385,10,175,4.0
386,203,321,4.0
387,191,286,3.0
388,43,323,4.0
389,21,558,2.0
390,197,96,2.0
391,13,344,5.0
392,194,66,4.0
393,234,206,3.0
394,308,402,3.0
395,308,640,3.0
396,269,522,2.0
397,94,265,3.0
398,268,62,4.0
399,272,12,2.0
400,121,291,4.0
401,296,20,2.0
402,134,286,4.0
403,180,462,2.0
404,234,612,4.0
405,104,117,5.0
406,38,758,1.0
407,269,845,1.0
408,7,163,3.0
409,234,1451,4.0
410,275,405,5.0
411,52,250,4.0
412,102,823,4.0
413,13,186,3.0
414,178,731,3.0
415,236,71,4.0
416,256,781,2.0
417,263,176,2.0
418,244,186,4.0
419,279,1181,3.0
420,43,815,3.0
421,83,78,5.0
422,151,197,2.0
423,254,436,5.0
424,109,631,4.0
425,297,716,4.0
426,249,188,3.0
427,144,699,3.0
428,301,604,3.0
429,64,392,4.0
430,92,501,5.0
431,222,97,3.0
432,268,436,4.0
433,293,135,2.0
434,213,173,2.0
435,160,460,5.0
436,13,498,3.0
437,59,715,2.0
438,5,17,3.0
439,125,163,2.0
440,174,315,2.0
441,114,505,4.0
442,213,515,3.0
443,23,196,5.0
444,128,15,3.0
445,239,56,3.0
446,181,279,1.0
447,291,80,3.0
448,250,238,3.0
449,201,649,4.0
450,60,60,2.0
451,181,325,5.0
452,119,407,4.0
453,287,1,2.0
454,216,228,4.0
455,216,531,3.0
456,203,471,3.0
457,92,587,4.0
458,13,892,4.0
459,213,176,3.0
460,286,288,2.0
461,117,1047,5.0
462,99,111,1.0
463,11,558,4.0
464,65,47,5.0
465,295,194,3.0
466,269,217,5.0
467,85,259,5.0
468,250,596,2.0
469,137,144,2.0
470,201,960,5.0
471,257,137,3.0
472,111,328,3.0
473,91,480,3.0
474,215,211,3.0
475,181,938,1.0
476,189,1060,2.0
477,1,20,3.0
478,303,404,3.0
479,299,305,4.0
480,187,210,3.0
481,222,278,5.0
482,214,568,3.0
483,293,770,4.0
484,285,191,3.0
485,303,252,4.0
486,96,156,3.0
487,72,1110,4.0
488,115,1067,3.0
489,7,430,4.0
490,116,350,4.0
491,73,480,3.0
492,269,246,2.0
493,263,419,2.0
494,70,431,4.0
495,221,475,3.0
496,72,182,2.0
497,25,357,3.0
498,290,50,2.0
499,189,526,3.0
500,299,303,4.0
501,264,294,4.0
502,200,365,2.0
503,187,135,3.0
504,184,187,3.0
505,63,289,5.0
506,13,229,3.0
507,298,486,4.0
508,235,185,3.0
509,62,712,3.0
510,246,94,5.0
511,54,742,2.0
512,63,762,4.0
513,11,732,4.0
514,92,168,3.0
515,8,550,4.0
516,307,174,3.0
517,303,200,3.0
518,256,849,5.0
519,72,54,4.0
520,164,406,5.0
521,117,150,3.0
522,224,77,3.0
523,193,869,4.0
524,94,184,5.0
525,281,338,5.0
526,130,109,4.0
527,128,371,1.0
528,94,720,1.0
529,182,845,4.0
530,129,873,1.0
531,254,229,3.0
532,64,381,3.0
533,151,176,5.0
534,45,25,3.0
535,193,879,4.0
536,276,922,3.0
537,276,57,4.0
538,234,187,3.0
539,181,306,1.0
540,21,370,1.0
541,293,249,4.0
542,264,721,2.0
543,10,611,2.0
544,197,346,4.0
545,276,142,4.0
546,308,427,3.0
547,221,943,3.0
548,131,126,3.0
549,268,824,5.0
550,109,8,4.0
551,198,58,4.0
552,230,680,3.0
553,181,741,1.0
554,192,1061,3.0
555,234,448,4.0
556,90,900,3.0
557,193,941,3.0
558,128,603,2.0
559,126,905,5.0
560,244,265,3.0
561,90,289,4.0
562,157,25,4.0
563,305,71,4.0
564,119,382,2.0
565,21,222,5.0
566,231,181,3.0
567,280,508,4.0
568,288,132,4.0
569,279,1497,5.0
570,301,33,3.0
571,72,699,4.0
572,90,259,5.0
573,308,55,4.0
574,59,742,4.0
575,94,744,3.0
576,130,642,3.0
577,26,1015,4.0
578,56,121,2.0
579,82,508,5.0
580,62,12,3.0
581,276,40,4.0
582,181,1015,1.0
583,152,301,4.0
584,178,845,3.0
585,217,597,3.0
586,79,303,3.0
587,138,484,3.0
588,308,81,2.0
589,75,284,5.0
590,269,198,3.0
591,307,94,4.0
592,222,781,4.0
593,121,740,4.0
594,269,22,1.0
595,13,864,3.0
596,230,742,2.0
597,269,507,3.0
598,239,1099,2.0
599,245,1028,2.0
600,56,546,4.0
601,295,961,2.0
602,271,1028,5.0
603,222,812,5.0
604,69,240,4.0
605,10,7,3.0
606,22,376,4.0
607,294,931,4.0
608,82,717,1.0
609,279,399,3.0
610,269,234,1.0
611,6,98,2.0
612,243,1039,3.0
613,298,181,3.0
614,282,325,1.0
615,78,323,1.0
616,118,200,2.0
617,283,1114,2.0
618,171,292,3.0
619,70,217,3.0
620,10,100,2.0
621,245,181,3.0
622,107,333,4.0
623,246,561,1.0
624,13,901,1.0
625,276,70,3.0
626,244,17,5.0
627,189,56,2.0
628,226,242,2.0
629,62,1016,3.0
630,276,417,3.0
631,214,478,3.0
632,306,235,3.0
633,222,26,4.0
634,280,631,2.0
635,60,430,2.0
636,56,71,3.0
637,42,274,2.0
638,1,202,2.0
639,13,809,3.0
640,173,289,3.0
641,15,749,1.0
642,185,23,3.0
643,280,540,4.0
644,244,381,3.0
645,150,293,3.0
646,7,497,3.0
647,178,317,3.0
648,178,742,4.0
649,95,1217,4.0
650,234,1462,4.0
651,97,222,2.0
