,user_id,post_id,rating_value
0,186,302,3.0
1,22,377,1.0
2,244,51,4.0
3,166,346,1.0
4,115,265,4.0
5,253,465,2.0
6,305,451,3.0
7,6,86,3.0
8,62,257,4.0
9,286,1014,2.0
10,200,222,2.0
11,210,40,3.0
12,224,29,3.0
13,303,785,3.0
14,122,387,2.0
15,194,274,4.0
16,234,1184,4.0
17,291,118,4.0
18,95,546,4.0
19,38,95,2.0
20,102,768,4.0
21,160,234,2.0
22,50,246,3.0
23,97,194,3.0
24,181,1081,1.0
25,278,603,2.0
26,276,796,1.0
27,201,979,4.0
28,276,564,3.0
29,287,327,2.0
30,246,201,2.0
31,242,1137,2.0
32,249,241,2.0
33,99,4,2.0
34,178,332,3.0
35,81,432,4.0
36,25,181,2.0
37,59,196,2.0
38,72,679,4.0
39,290,143,2.0
40,42,423,2.0
41,115,20,3.0
42,20,288,1.0
43,13,526,3.0
44,138,26,2.0
45,167,232,1.0
46,60,427,2.0
47,57,304,2.0
48,243,15,3.0
49,92,1049,1.0
50,246,416,3.0
51,241,690,4.0
52,254,1444,3.0
53,293,5,3.0
54,127,229,2.0
55,225,237,2.0
56,299,229,3.0
57,225,480,2.0
58,276,54,3.0
59,291,144,2.0
60,267,518,2.0
61,42,403,3.0
62,279,154,2.0
63,145,275,4.0
64,119,1153,2.0
65,62,382,3.0
66,32,294,3.0
67,90,382,2.0
68,293,685,3.0
69,166,328,2.0
70,271,132,2.0
71,160,174,2.0
72,198,498,3.0
73,42,96,2.0
74,168,151,2.0
75,62,21,3.0
76,279,832,3.0
77,128,485,3.0
78,44,195,2.0
79,264,200,2.0
80,194,385,4.0
81,72,195,2.0
82,222,750,2.0
83,250,264,3.0
84,41,265,3.0
85,224,245,3.0
86,82,135,3.0
87,293,471,3.0
88,216,658,3.0
89,250,140,3.0
90,59,23,2.0
91,286,379,2.0
92,174,368,1.0
93,194,1211,4.0
94,82,1134,4.0
95,13,836,4.0
96,244,756,4.0
97,305,427,2.0
98,95,787,4.0
99,43,14,4.0
100,57,419,3.0
101,84,405,3.0
102,299,111,3.0
103,99,268,3.0
104,85,427,3.0
105,213,273,2.0
106,121,514,3.0
107,90,98,2.0
108,49,559,4.0
109,42,794,3.0
110,155,323,4.0
111,5,2,3.0
112,305,117,4.0
113,279,1336,1.0
114,80,466,2.0
115,298,281,3.0
116,279,1240,1.0
117,18,443,3.0
118,268,1035,4.0
119,26,258,3.0
120,200,673,2.0
121,213,172,2.0
122,276,322,3.0
123,94,1217,3.0
124,160,719,3.0
125,293,1267,3.0
126,26,930,4.0
127,92,1079,3.0
128,56,755,3.0
129,15,405,4.0
130,92,77,3.0
131,207,476,4.0
132,292,174,2.0
133,232,483,2.0
134,251,748,4.0
135,224,26,3.0
136,52,280,3.0
137,161,202,2.0
138,148,408,2.0
139,125,235,4.0
140,97,228,2.0
141,272,178,2.0
142,194,181,3.0
143,110,688,1.0
144,151,10,2.0
145,6,14,2.0
146,54,106,3.0
147,303,69,2.0
148,16,944,1.0
149,276,1091,3.0
150,305,214,4.0
151,194,1028,4.0
152,91,323,4.0
153,200,318,2.0
154,229,328,1.0
155,303,842,4.0
156,207,591,3.0
157,36,339,2.0
158,70,746,3.0
159,63,242,3.0
160,28,201,3.0
161,14,98,3.0
162,299,1018,3.0
163,194,54,3.0
164,303,815,3.0
165,119,237,2.0
166,295,218,2.0
167,268,930,4.0
168,268,2,4.0
169,233,202,2.0
170,214,334,3.0
171,192,476,4.0
172,268,145,1.0
173,307,89,2.0
174,234,141,3.0
175,181,264,4.0
176,38,153,2.0
177,181,872,1.0
178,201,146,1.0
179,269,367,3.0
180,59,468,3.0
181,193,96,1.0
182,113,595,2.0
183,292,11,2.0
184,130,1014,3.0
185,189,520,2.0
186,219,82,1.0
187,218,209,2.0
188,123,427,3.0
189,119,222,2.0
190,302,322,4.0
191,279,501,3.0
192,301,79,2.0
193,181,3,4.0
194,201,695,1.0
195,13,198,3.0
196,1,189,3.0
197,145,237,2.0
198,296,705,2.0
199,42,546,3.0
200,33,872,3.0
201,301,554,3.0
202,16,64,2.0
203,95,135,3.0
204,77,484,2.0
205,296,508,2.0
206,302,303,4.0
207,244,673,3.0
208,13,215,2.0
209,16,705,2.0
210,145,15,4.0
211,187,64,2.0
212,200,304,2.0
213,170,749,2.0
214,101,829,3.0
215,184,218,3.0
216,181,1295,1.0
217,184,153,3.0
218,184,321,2.0
219,54,595,3.0
220,23,323,4.0
221,301,227,3.0
222,301,191,3.0
223,112,903,1.0
224,82,183,3.0
225,222,724,3.0
226,218,430,3.0
227,303,134,2.0
228,133,751,3.0
229,215,212,4.0
230,69,256,2.0
231,104,984,1.0
232,63,1067,3.0
233,13,56,2.0
234,240,879,3.0
235,286,237,4.0
236,294,271,2.0
237,92,229,3.0
238,144,89,3.0
239,59,951,3.0
240,200,96,2.0
241,16,197,2.0
242,61,678,3.0
243,271,709,3.0
244,142,169,2.0
245,275,597,3.0
246,222,151,3.0
247,87,40,3.0
248,272,1393,4.0
249,207,1115,4.0
250,299,577,3.0
251,49,959,4.0
252,94,1224,3.0
253,130,1017,3.0
254,10,175,3.0
255,203,321,3.0
256,43,323,3.0
257,21,558,2.0
258,197,96,2.0
259,13,344,4.0
260,194,66,3.0
261,269,522,2.0
262,268,62,3.0
263,272,12,2.0
264,121,291,3.0
265,296,20,2.0
266,134,286,3.0
267,180,462,2.0
268,234,612,3.0
269,104,117,4.0
270,38,758,1.0
271,269,845,1.0
272,234,1451,3.0
273,275,405,4.0
274,52,250,3.0
275,102,823,3.0
276,236,71,3.0
277,256,781,2.0
278,263,176,2.0
279,244,186,3.0
280,83,78,4.0
281,151,197,2.0
282,254,436,4.0
283,109,631,3.0
284,297,716,3.0
285,64,392,3.0
286,92,501,4.0
287,268,436,3.0
288,293,135,2.0
289,213,173,2.0
290,160,460,4.0
291,59,715,2.0
292,125,163,2.0
293,174,315,2.0
294,114,505,3.0
295,23,196,4.0
296,181,279,1.0
297,201,649,3.0
298,60,60,2.0
299,181,325,4.0
300,119,407,3.0
301,287,1,2.0
302,216,228,3.0
303,92,587,3.0
304,13,892,3.0
305,286,288,2.0
306,117,1047,4.0
307,99,111,1.0
308,11,558,3.0
309,65,47,4.0
310,269,217,4.0
311,85,259,4.0
312,250,596,2.0
313,137,144,2.0
314,201,960,4.0
315,181,938,1.0
316,189,1060,2.0
317,299,305,3.0
318,222,278,4.0
319,293,770,3.0
320,303,252,3.0
321,72,1110,3.0
322,7,430,3.0
323,116,350,3.0
324,269,246,2.0
325,263,419,2.0
326,70,431,3.0
327,72,182,2.0
328,290,50,2.0
329,299,303,3.0
330,264,294,3.0
331,200,365,2.0
332,63,289,4.0
333,298,486,3.0
334,246,94,4.0
335,54,742,2.0
336,63,762,3.0
337,11,732,3.0
338,8,550,3.0
339,256,849,4.0
340,72,54,3.0
341,164,406,4.0
342,193,869,3.0
343,94,184,4.0
344,281,338,4.0
345,130,109,3.0
346,128,371,1.0
347,94,720,1.0
348,182,845,3.0
349,129,873,1.0
350,151,176,4.0
351,193,879,3.0
352,276,57,3.0
353,181,306,1.0
354,21,370,1.0
355,293,249,3.0
356,264,721,2.0
357,10,611,2.0
358,197,346,3.0
359,276,142,3.0
360,268,824,4.0
361,109,8,3.0
362,198,58,3.0
363,181,741,1.0
364,234,448,3.0
365,128,603,2.0
366,126,905,4.0
367,90,289,3.0
368,157,25,3.0
369,305,71,3.0
370,119,382,2.0
371,21,222,4.0
372,280,508,3.0
373,288,132,3.0
374,279,1497,4.0
375,72,699,3.0
376,90,259,4.0
377,308,55,3.0
378,59,742,3.0
379,26,1015,3.0
380,56,121,2.0
381,82,508,4.0
382,276,40,3.0
383,181,1015,1.0
384,152,301,3.0
385,308,81,2.0
386,75,284,4.0
387,307,94,3.0
388,222,781,3.0
389,121,740,3.0
390,269,22,1.0
391,230,742,2.0
392,239,1099,2.0
393,245,1028,2.0
394,56,546,3.0
395,295,961,2.0
396,271,1028,4.0
397,222,812,4.0
398,69,240,3.0
399,22,376,3.0
400,294,931,3.0
401,82,717,1.0
402,269,234,1.0
403,6,98,2.0
404,282,325,1.0
405,78,323,1.0
406,118,200,2.0
407,283,1114,2.0
408,10,100,2.0
409,107,333,3.0
410,246,561,1.0
411,13,901,1.0
412,244,17,4.0
413,189,56,2.0
414,226,242,2.0
415,222,26,3.0
416,280,631,2.0
417,60,430,2.0
418,42,274,2.0
419,1,202,2.0
420,15,749,1.0
421,280,540,3.0
422,178,742,3.0
423,95,1217,3.0
424,234,1462,3.0
425,97,222,2.0
426,109,127,4.0
427,117,268,2.0
428,269,705,4.0
429,130,1246,3.0
430,207,13,3.0
431,42,588,2.0
432,246,409,4.0
433,101,304,3.0
434,92,794,3.0
435,181,762,4.0
436,213,235,1.0
437,92,739,4.0
438,292,661,2.0
439,274,845,2.0
440,188,692,2.0
441,5,439,1.0
442,236,632,3.0
443,90,1198,2.0
444,5,225,4.0
445,22,128,2.0
446,8,22,2.0
447,222,173,2.0
448,1,171,2.0
449,308,295,3.0
450,222,49,3.0
451,200,11,2.0
452,90,25,2.0
453,208,216,2.0
454,288,593,4.0
455,286,153,2.0
456,205,304,3.0
457,223,328,3.0
458,15,25,3.0
459,94,1220,3.0
460,7,492,2.0
461,268,217,4.0
462,16,55,2.0
463,164,620,3.0
464,239,1070,2.0
465,56,449,2.0
466,234,10,3.0
467,280,1049,4.0
468,308,187,2.0
469,276,64,2.0
470,192,948,3.0
471,85,588,3.0
472,262,931,4.0
473,201,272,3.0
474,181,870,4.0
475,93,820,3.0
476,159,1028,2.0
477,158,665,4.0
478,293,423,3.0
479,82,597,3.0
480,276,181,2.0
481,13,823,2.0
482,217,2,3.0
483,189,20,2.0
484,146,1022,2.0
485,267,121,3.0
486,126,294,3.0
487,181,1060,1.0
488,13,780,1.0
489,253,259,4.0
490,42,44,3.0
491,291,686,2.0
492,268,21,3.0
493,262,28,3.0
494,234,81,3.0
495,29,245,3.0
496,236,57,2.0
497,158,729,3.0
498,232,52,2.0
499,168,866,2.0
500,141,245,3.0
501,102,70,3.0
502,77,172,3.0
503,90,506,2.0
504,186,566,2.0
505,44,660,2.0
506,118,774,2.0
507,7,661,2.0
508,49,1003,4.0
509,62,68,1.0
510,85,51,4.0
511,77,474,2.0
512,58,1099,4.0
513,197,688,1.0
514,90,258,3.0
515,181,1288,1.0
516,221,1010,3.0
517,66,877,1.0
